category,message,uz-UZ,oz-UZ,ru-RU,en-US,kk-UZ,tg-TG,kz-KZ,tm-TM,kg-KG
app,"Education year [{code}] updated successfully","O'quv yili [{code}] muvaffaqiyatli o'zgartirildi","Ўқув йили [{code}] муваффақиятли ўзгартирилди","Учебный год [{code}] успешно обновлен",,,,,,
app,"Education Year Name","O'quv yili","Ўқув йили","Учебный год",,,,,,
app,"Education years","O‘quv yillari","Ўқув йиллари","Учебные годы",,,,,,
app,Eksport,Eksport,Экспорт,Экспорт,Export,,,,,
app,"Election Date","Tanlov sanasi","Танлов санаси","Дата конкурса",,,,,,
app,"Elektron diplom olish","Diplomning elektron faylini olish","Дипломнинг электрон вариантини олиш","Получение электронной версии диплома","Download the electronic file of the diploma",,,,,
app,Email,Email,Email,Email,,,,,,
app,"Email Alerts","Email orqali ogohlantirish","Email орқали огоҳлантириш","Уведомление через Email",,,,,,
app,Employee,Xodim,Ходим,Сотрудник,,,,,,
app,"Employee Academic Degree","Ilmiy status","Илмий статус","Научный статус","Scientific status",,,,,
app,"Employee Account","Hodim akkountini yaratish","Ҳодим аккоунтини яратиш","Создать учетную запись сотрудника",,,,,,
app,"Employee and employee related data","Xodim va xodimga aloqador ma'lumotlar","Ходим ва ходимга алоқадор маълумотлар","Сотрудник и связанные данные с сотрудником",,,,,,
app,"Employee Competition","Tanlovdan o'tish","Танловдан ўтиш","Конкурсный отбор",,,,,,
app,"Employee Competition Delete",O'chirish,Ўчириш,Удалить,,,,,,
app,"Employee Competition Edit",Yaratish,Яратиш,Создать,,,,,,
app,"Employee Competition Monitoring",Monitoring,Мониторинг,Мониторинг,,,,,,
app,"Employee competition `{name}` deleted successfully.","{name} ning tanlov ma'lumotlari muvaffaqiyatli o'chirildi","{name} нинг танлов маълумотлари муваффақиятли ўчирилди","Данные о конкурсе {name} успешно удалено",,,,,,
app,"Employee Direction","Xodimlar ro'yxati","Ходимлар рўйхати","Список сотрудников","Employee List",,,,,
app,"Employee Direction Edit","Bo‘limni o‘zgartirish","Бўлимни ўзгартириш","Изменить отдел",,,,,,
app,"Employee Employee","Xodimlar bazasi","Ходимлар базаси","База сотрудников","Employee Data",,,,,
app,"Employee Employee Edit","Xodimni o‘zgartirish","Ходимни ўзгартириш","Изменить сотрудника",,,,,,
app,"Employee Employee Passport Edit","Pasportni tahrirlash","Паспортни таҳрирлаш","Редактирование паспорта",,,,,,
app,"Employee Employee Status","O'qituvchi holati","Ўқитувчи ҳолати","Состояние преподавателя","Employee Status",,,,,
app,"Employee Foreign Employee","Xorijiy o'qituvchi","Хорижий ўқитувчи","Иностранный препод.","Foreign Professor",,,,,
app,"Employee Foreign Training","Xorijiy faoliyat","Хорижий фаолият","Зарубеж. опыть","Foreign Training",,,,,
app,"Employee ID","Xodim ID","Ходим ID","ID сотрудника",,,,,,
app,"Employee Id Number","ID raqami","ID рақами","ID номер",,,,,,
app,"Employee Information",Xodimlar,Ходимлар,Сотрудники,,,,,,
app,"Employee Name","Xodim ismi","Ходим исми","Имя сотрудника",,,,,,
app,"Employee {name} competition created successfully","{name} ning tanlov ma'lumotlari muvaffaqiyatli kiritildi","{name} нинг танлов маълумотлари муваффақиятли киритилди","Данные о конкурсе {name} успешно создано",,,,,,
app,"Employee {name} competition updated successfully","{name} ning tanlov ma'lumotlari muvaffaqiyatli o'zgartirildi","{name} нинг танлов маълумотлари муваффақиятли ўзгартирилди","Данные о конкурсе {name} успешно обновлено",,,,,,
app,"Employee `{name}` created successfully.","Xodim `{name}` muvaffaqiyatli yaratildi","Ходим `{name}` муваффақиятли яратилди.","Сотрудник `{name}` создан успешно.",,,,,,
app,"Employee `{name}` deleted successfully.","Xodim `{name}` muvaffaqiyatli o'chirildi","Ходим `{name}` муваффақиятли ўчирилди.","Сотрудник `{name}` успешно удален.",,,,,,
app,"Employee {name} professional development created successfully","{name} ning malaka oshirish maʼlumotlari muvaffaqiyatli yaratildi","{name} нинг малака ошириш маълумотлари муваффақиятли яратилди","Информация о повышение квалификации {name} успешно добавлена",,,,,,
app,"Employee {name} professional development updated successfully","{name} ning malaka oshirish maʼlumotlari muvaffaqiyatli oʻzgartirildi","{name} нинг малака ошириш маълумотлари муваффақиятли ўзгартирилди","Данные о повышение квалификации {name} успешно обновлено",,,,,,
app,"Employee `{name}` updated successfully.","Xodim `{name}` muvaffaqiyatli o‘zgartirildi","Ходим `{name}` муваффақиятли ўзгартирилди.","Сотрудник `{name}` успешно обновлен.",,,,,,
app,"Employee Position",Lavozim,Лавозим,Должность,,,,,,
app,"Employee Positions","Xodim Lavozimlari","Ходим Лавозимлари","Должности сотрудников",,,,,,
app,"Employee Professional Development","Malaka oshirish","Малака ошириш","Повышение квалификации","Advanced Training",,,,,
app,"Employee Professional Development Delete",O'chirish,Ўчириш,Удалить,,,,,,
app,"Employee Professional Development Edit",Yaratish,Яратиш,Создание,,,,,,
app,"Employee Professional Development Monitoring",Monitoring,Мониторинг,Мониторинг,,,,,,
app,"Employee professional development `{name}` deleted successfully.","{name} ning malaka oshirish maʼlumotlari muvaffaqiyatli o'chirildi","{name} нинг малака ошириш маълумотлари муваффақиятли ўчирилди","Информация о повышение квалификации {name} успешно удалено",,,,,,
app,Employees,Xodimlar,Ходимлар,Сотрудники,,,,,,
app,"Employee status",Xodim,Ходим,Сотрудника,,,,,,
app,"Employee Status",Status,Статус,Статус,,,,,,
app,"Employee synced to HEMIS API and generated id {b}{employee_id}{/b}","Xodim HEMIS API bilan sinxronlashtirildi va {b}{employee_id}{/b} raqam generasiya qilindi","Ходим HEMIS API билан синхронлаштирилди ва {b}{employee_id}{/b} рақам генерация қилинди","Сотрудник синхронизирован с HEMIS API и сгенерирован идентификатор {b} {employee_id}{/b}",,,,,,
app,"Employee Teacher","O'qituvchilar ro'yxati","Ўқитувчилар рўйхати",Преподаватели,"Teacher List",,,,,
app,"Employee Teacher Edit","O‘qituvchini o‘zgartirish","Ўқитувчини ўзгартириш","Изменить преподавателя",,,,,,
app,"Employee To Status","Xodim statusi","Ходим статуси","Статус сотрудника",,,,,,
app,"Employee Tutor Group","Tyutor guruhlari","Тьютор гуруҳлари","Группы тьютора","Tutor Groups",,,,,
app,"Employee Type","Xodim turi","Ходим тури","Вид сотрудника",,,,,,
app,"Employee with  reason",Sababli,Сабабли,Выпускник,Graduator,,,,,
app,"Employee Work `{name}` created successfully.","`{name}` ning ma'lumotlari muvaffaqiyatli yaratildi","`{name}` нинг маълумотлари муваффақиятли яратилди","Данные сотрудника `{name}` создана успешно",,,,,,
app,"Employee Work`{name}` created successfully.","`{name}` ma'lumotlari muvaffaqiyatli yaratidi","`{name}` маълумотлари муваффақиятли яратилди","Данные сотрудника`{name}` создан успешно",,,,,,
app,"Employee Work `{name}` deleted successfully.","`{name}` ning ma'lumotlari muvaffaqiyatli o'chirildi","`{name}` нинг маълумотлари муваффақиятли ўчирилди","Данные сотрудника `{name}` успешно удалена.",,,,,,
app,"Employee Work `{name}` updated successfully.","`{name}` ning ma'lumotlari muvaffaqiyatli o'zgartirildi","`{name}` нинг маълумотлари муваффақиятли ўзгартирилди","Данные сотрудника `{name}` успешно обновлена.",,,,,,
app,"Employment Doc Date","Hujjat sanasi","Ҳужжат санаси","Дата документа",,,,,,
app,"Employment Doc Number","Hujjat raqami","Ҳужжат рақами","Номер документа","Doc Number",,,,,
app,"Employment Form","Mehnat shakli","Меҳнат шакли","Форма занятости",,,,,,
app,"Employment for student {name} has been created","Talaba {name} ning mehnat ma'lumotlari yaratildi","Талаба {name} нинг меҳнат маълумотлари яратилди","Информация о работе студента {name} успешно создана","Employment for student {name} has been created",,,,,
app,"Employment for student {name} has been updated","Talaba {name} ning mehnat ma'lumotlari o'zgartirildi","Талаба {name} нинг меҳнат маълумотлари ўзгартирилди","Информация о работе студента {name} успешно обновлена","Employment for student {name} has been updated",,,,,
app,"Employment {id} deleted successfully","Talaba {id} ning mehnat ma'lumotlari o'chirildi","Талаба {id} нинг меҳнат маълумотлари ўчирилди","Информация о работе студента {id} успешно удалена","Employment for student {id} has been deleted",,,,,
app,"Employment Information","Mehnat ma'lumotlari","Меҳнат маълумотлари","Информация о работе","Employment Information",,,,,
app,"Employment Registration","Ish joyi","Иш жойи","Место работы",,,,,,
app,"Employment Staff",Stavka,Cтавка,Ставка,,,,,,
app,"Employment Status","Xodim statusi","Ходим статуси","Статус сотрудника",,,,,,
app,Empty,Bo'sh,Бўш,Свободный,Empty,,,,,
app,Enable,Faol,Фаол,Актив,,,,,,
app,Enabled,Ochiq,Очиқ,Включено,,,,,,
app,"Enable Developer Toolbar","Dasturchi instrumentlar panelini yoqish","Дастурчи инструментлар панелини ёқиш","Включить панель инструментов разработчика",,,,,,
app,"Enable {language}","{language} ochish","{language} очиш","{language} включить",,,,,,
app,"Enable ReCaptcha on login","Kirishda ReCaptcha ni yoqish","Киришда ReCaptcha ни ёқиш","Включить ReCaptcha при входе",,,,,,
app,"Enables Google ReCaptcha validation on system login","Tizimga kirishda Google ReCaptcha tekshiruvini yoqish","Тизимга киришда Google ReCaptcha текширувини ёқиш","Включает проверку Google ReCaptcha при входе в систему",,,,,,
app,"End Date","Tugash sanasi","Тугаш санаси","Дата окончания",,,,,,
app,"End Time","Tugash vaqti","Тугаш вақти","Время окончания",,,,,,
app,English,English,English,English,,,,,,
app,"Enter birth date","Tug'ilgan sanani kiriting","Туғилган санани киритинг","Введите дата рождения",,,,,,
app,"Enter comma separated IP addresses","Nuqta bilan ajratilgan IP-adresalarni kiritish","Нуқта билан ажратилган IP-адресаларни киритиш","Введите IP-адреса через точку",,,,,,
app,"Enter date","Sanani kiriting","Санани киритинг","Введите дату",,,,,,
app,"Enter each email on new line","Har bir xabarni yangi qatordan kiritish","Ҳар бир хабарни янги қатордан киритиш","Введите каждое письмо на новой строке",,,,,,
app,"Entered work in accordance with the direction","Yo'nalishga mos keladi","Йўналишга мос келади","Соответствует к направлению","Matches to specialty",,,,,
app,"Enter email address to reset password","Parolni tiklash uchun elektron pochta manzilini kiriting","Паролни тиклаш учун электрон почта манзилини киритинг","Введите адрес электронной почты, чтобы сбросить пароль",,,,,,
app,"Enter end_date","Tugash sanasini kiriting","Тугаш санасини киритинг","Введите дата окончание",,,,,,
app,"Enter exam date","Imtihon sanasini kiriting","Имтиҳон санасини киритинг","Введите дату экзамена",,,,,,
app,"Enter lesson date","Dars sanasini kiriting","Дарс санасини киритинг","Введите дату занятия",,,,,,
app,"Enter start_date","Boshlanish sanasini kiriting","Бошланиш санасини киритинг","Введите дата начало",,,,,,
app,"Enter time range","Vaqt oralig'ini kiriting","Вақт оралиғини киритинг","Введите диапазон времени",,,,,,
app,"Enter upload max size in MB","Yuklanadigan fayl hajmini kiriting (Mb)","Юкланадиган файл ҳажмини киритинг (Мб)","Введите размер загружаемого файла (Мб)",,,,,,
app,Error,Xatolik,Хатолик,Ошибка,,,,,,
app,"Error with input data","Kiritilgan ballar chegaradan oshib ketganligi uchun saqlab bo'lmaydi","Киритилган баллар чегарадан ошиб кетганлиги учун сақлаб бўлмайди","Введенные баллы не могут быть сохранены, так как они превышают лимит","Entered points cannot be saved as they exceed the limit",,,,,
app,"Error with Methodical Publication","Uslubiy nashr bilan bog'liq xatolik","Услубий нашр билан боғлиқ хатолик","Ошибка, связанный с методической публикацией",,,,,,
app,"Error with Property Publication","Ilmiy nashr bilan bog'liq xatolik","Илмий нашр билан боғлиқ хатолик","Ошибка, связанный с научной публикацией",,,,,,
app,"Error with Scientifical Publication","Ilmiy nashr bilan bog'liq xatolik","Илмий нашр билан боғлиқ хатолик","Ошибка связанная с научной публикации",,,,,,
app,"E Student Uzasbo Id Number","Uzasbo ID","УзАСБО ID","УзАСБО ID","Uzasbo ID",,,,,
app,Exam,Imtihon,Имтиҳон,Экзамен,,,,,,
app,"Exam Data","Imtihon ma'lumotlari","Имтиҳон маълумотлари","Данные экзамена",,,,,,
app,"Exam Date","Nazorat sanasi","Назорат санаси","Дата экзамена",,,,,,
app,"Exam Delete",O'chirish,Ўчириш,Удалить,,,,,,
app,"Exam Edit",O'zgartirish,Ўзгартириш,Изменить,,,,,,
app,"Exam Finish","Yakuniy baholash turi","Якуний баҳолаш тури","Вид итоговой оценки",,,,,,
app,"Exam Finish At","Tugash vaqti","Тугаш вақти","Время окончание","Finish time",,,,,
app,"Exam Groups","Imtihon guruhlari","Имтиҳон гуруҳлари","Группы экзамена",,,,,,
app,"Exam Index","Imtihonlar ro'yxati","Имтиҳонлар рўйхати","Список экзаменов",,,,,,
app,"Exam Name","Nazorat nomi","Назорат номи","Название экзамена",,,,,,
app,"Exam `{name}` created successfully.","Imtihon `{name}` muvaffaqiyatli yaratildi","Имтиҳон `{name}` муваффақиятли яратилди","Экзамен `{name}` успешно создан",,,,,,
app,"Exam `{name}` deleted successfully.","Imtihon `{name}` muvaffaqiyatli o'chirildi","Имтиҳон `{name}` муваффақиятли ўчирилди","Экзамен `{name}` успешно удален",,,,,,
app,"Exam `{name}` updated successfully.","Imtihon `{name}` muvaffaqiyatli o'zgartirildi","Имтиҳон `{name}` муваффақиятли ўзгартирилди","Экзамен `{name}` успешно обновлен",,,,,,
app,"Exam Questions","Imtihon savollari","Имтиҳон саволлари","Вопросы экзамена",,,,,,
app,"Exam Questions ({count})","Savollar  ({count})","Саволлар ({count})","Вопросы ({count})",,,,,,
app,"Exam Results",Natijalar,Натижалар,Результаты,,,,,,
app,"Exam Results ({count})","Natija ({count})","Натижа ({count})","Результат ({count})",,,,,,
app,Exams,Imtihonlar,Имтиҳонлар,Экзамены,,,,,,
app,"Exam Schedule","Nazorat jadvali","Назорат жадвали","Расписание экзаменов",,,,,,
app,"Exam Schedule [{code}] created successfully","Nazorat jadvalining  [{code}] elementi muvaffaqiyatli yaratildi","Назорат жадвалининг [{code}] элементи муваффақиятли яратилди","Элемент [{code}] в расписание экзаменов успешно создан","Exam Schedule element [{code}] created successfully",,,,,
app,"Exam Schedule [{code}] deleted successfully","Nazorat jadvalining  [{code}] elementi muvaffaqiyatli o‘chirildi","Назорат жадвалининг [{code}] элементи муваффақиятли ўчирилди","Элемент [{code}] из расписание экзаменов успешно удалено","Exam Schedule element [{code}] deleted successfully",,,,,
app,"Exam Schedule [{code}] edited successfully","Nazorat jadvalining  [{code}] elementi muvaffaqiyatli o‘zgartirildi","Назорат жадвалининг [{code}] элементи муваффақиятли ўзгартирилди","Элемент [{code}] в расписание экзаменов успешно обновлен","Exam Schedule element [{code}] edited successfully",,,,,
app,"Exam Schedules","Nazorat jadvallari","Назорат жадваллари","Расписание экзаменов",,,,,,
app,"Exam Schedule View","Nazorat jadvalini ko'rish","Назорат жадвалини кўриш","Просмотр график экзаменов","Exam Schedule View",,,,,
app,"Exam Start At","Boshlash vaqti","Бошлаш вақти","Время начало","Start time",,,,,
app,"Exams Timetable","Imtihonlar jadvali","Имтиҳонлар жадвали","Расписание экзаменов",,,,,,
app,Examtable,"Imtihonlar jadvali","Имтиҳонлар жадвали","Расписание экзаменов",,,,,,
app,"Exam Table","Imtihonlar jadvali","Имтиҳонлар жадвали","Расписание экзаменов",,,,,,
app,"Exam Type","Nazorat turi","Назорат тури","Вид экзамена",,,,,,
app,"Exceeding the limit set for the control type of subject","Obyektni boshqarish turi uchun o'rnatilgan limitdan oshib ketdi","Объектни бошқариш тури учун ўрнатилган лимитдан ошиб кетди","Превышение лимита, установленного для типа контроля объекта",,,,,,
app,"Exchange Document","Almashinuv hujjati","Алмашинув ҳужжати","Документ по обмену","Exchange Document",,,,,
app,"Exchange Program Students Data","Akademik almashinuv ma'lumoti","Академик алмашинув маълумоти","Академический обмен студентов","Students Exchange Program Data",,,,,
app,"Exchange Type","Almashinuv turi","Алмашинув тури","Вид обмена","Exchange Type",,,,,
app,Excluded,,,,,,,,,
app,"Executor Type","Ijrochi toifasi","Ижрочи тоифаси","Категория исполнителя",,,,,,
app,"Exist Certificate","Nashr guvohnomasi","Нашир гувоҳномаси","Сертификат о публикации",,,,,,
app,Expel,"O'qishdan chetlashtirish","O'qishdan chetlashtirish","O'qishdan chetlashtirish",,,,,,
app,"Expel (Course / Semester)","Kursdan qoldirish","Курсдан қолдириш","Оставить в курсе",,,,,,
app,"Expel from Course","Kursdan qoldirish","Курсдан қолдириш","Исключение из курса","Expel from Course",,,,,
app,"Export Questions",Eksport,Экспорт,Экспорт,,Eksport,,,,
app,"Export Students","Talaba manzili","Талаба манзили","Адрес студента","Student Address",,,,,
app,"Export Subjects","Yuklab olish","Юклаб олиш",Экспорт,Export,,,,,
app,"Export to Excel","Excel hisobot","Excel ҳисобот","Excel отчет","Export to Excel",,,,,
app,"Expulsion Decree Date","Chetlashtirish buyrug'i sanasi","Четлаштириш буйруғи санаси","Дата приказа об отчислении","Expulsion Order Date",,,,,
app,"Expulsion Decree Number","Chetlashtirish buyrug'i raqami","Четлаштириш буйруғи рақами","Номер приказа об отчислении","Expulsion Order Number",,,,,
app,"Expulsion Decree Reason","Chetlashtirish sababi","Четлаштириш сабаби","Причина отчисления","Expulsion Reason",,,,,
app,Faculty,Fakultet,Факультет,Факультет,,,,,,
app,"Faculty [{code}] deleted successfully","Fakultet [{code}] muvaffaqiyatli o‘chirildi","Факультет [{code}] муваффақиятли ўчирилди","Факультет [{code}] успешно удален",,,,,,
app,"Faculty [{code}] updated successfully","Fakultet [{code}] muvaffaqiyatli o‘zgartirildi","Факультет [{code}] муваффақиятли ўзгартирилди","Факультет [{code}] успешно обновлен",,,,,,
app,"Faculty Name","Fakultet nomi","Факультет номи","Название факультета","Faculty Name",,,,,
app,"Faculty Summary","Jami fakultet","Жами факультет","Всего по факультету",,,,,,
app,Fail,Muvaffaqiyatsiz,Муваффақиятсиз,Провал,,,,,,
app,"Fakultet turlari","Fakultet turlari","Факультет турлари","Категории факультетов",,,,,,
app,Familiyasi,Familiyasi,Фамилияси,Фамилия,Surname,,,,,
app,"Fan kategoriyalari","Fan toifalari","Фан тоифалари","Категории предметов",,,,,,
app,"Fanlar farqi: {b}{count}{/b} ta","Fanlar farqi: {b}{count}{/b} ta","Фанлар фарқи: {b}{count}{/b} та","Разница предметов: {b}{count}{/b}","Course diff.: {b}{count}{/b}",,,,,
app,"Fanlar ro`yxati","Fanlar ro'yxati","Фанлар рўйхати","Список предметов","List of courses",,,,,
app,"Fanlar toifalari","Fanlar toifalari","Фанлар тоифалари","Категории предметов",,,,,,
app,"Fanlar toifasi nomlari","Fanlar toifasi nomlari","Фанлар тоифаси номлари","Название категории предметов",,,,,,
app,"Fan: {name}","Fan: {name}","Фан: {name}","Предмет: {name}",,,,,,
app,"Fanning yakuniy nazorat shakli","Fanning yakuniy nazorat shakli","Фаннинг якуний назорат шакли","Форма экзамена предмета",,,,,,
app,"Fan oxirida tugash shakli","Fanning yakuniy nazorat shakli","Фаннинг якуний назорат шакли","Форма экзамена предмета",,,,,,
app,"Fan tanlash","Fan tanlash","Фан танлаш","Выбор предмета",,,,,,
app,"Fan tarmog‘i va ixtisoslik nomi","Fan tarmog‘i va ixtisoslik nomi","Фан тармоғи ва ихтисослик номи","Отрасл науки и название специальности",,,,,,
app,"Fan turi","Fan turi","Фан тури","Вид курса","Course Type",,,,,
app,Farq,Farq,Фарқ,Разница,,,,,,
app,"Fayl mavjud emas","Fayl mavjud emas","Файл мавжуд эмас","Файл не существует","The file does not exist",,,,,
app,Female,Ayol,Аёл,Женский,,,,,,
app,File,"Buyruq fayli","Буйруқ файли","Файл приказа",,,,,,
app,Filename,"Fayl nomi","Файл номи","Имя файла",,,,,,
app,Files,Fayllar,Файллар,Файлы,,,,,,
app,"Fill Data",To'ldirish,Тўлдириш,Заполнить,"Fill Data",,,,,
app,"Fill from Current",To'ldirish,Тўлдириш,Заполнить,"Fill in Grades",,,,,
app,"Fill From Exams",To'ldirish,Тўлдириш,Заполнить,,,,,,
app,"Fill From Tasks",To'ldirish,Тўлдириш,Заполнить,,,,,,
app,Filtr,Filtr,Фильтр,Фильтр,,,,,,
app,"Final Active",,,,,,,,,
app,"Final Examtable","Yakuniy nazorat","Якуний назорат","Итоговый контроль",,,,,,
app,"Final Exam Type","YN turi","ЯН тури","Вид ИК",,,,,,
app,Finance,"Moliyaviy faoliyat","Молиявий фаолият","Финансовая деятельность",,,,,,
app,"Finance Contract Info","Shartnoma ma'lumotlari","Шартнома маълумотлари","Информация о контракте",,,,,,
app,"Finance Contract Invoice",Schet-faktura,Счет-фактура,Счет-фактура,Invoice,,,,,
app,"Finance Contract Invoice Data","Schet-faktura ma'lumotlari","Счет-фактура маълумотлари","Информация о счет-фактуре","Contract Invoice Data",,,,,
app,"Finance Contract Invoice Edit","Schet-faktura yaratish","Счет-фактура яратиш","Добавить счет-фактуры","Add invoice",,,,,
app,"Finance Contract Price","Shartnoma (bazaviy)","Шартнома (базавий)","Контракт (базовый)",,,,,,
app,"Finance Contract Price Edit","Shartnoma qiymatini o'zgartirish","Шартнома қийматини ўзгартириш","Изменение суммы контракта",,,,,,
app,"Finance Contract Price Foreign","Shartnoma (xorijiy)","Шартнома (хорижий)","Контракт (Иностран.)",,,,,,
app,"Finance Contract Price Foreign Edit","Shartnoma qiymatini tahrirlash","Шартнома қийматини таҳрирлаш","Редактирование сумму контракта",,,,,,
app,"Finance Contract Type","Shartnoma turi","Шартнома тури","Вид контракта",,,,,,
app,"Finance Control Contract","Shartnoma nazorati","Шартнома назорати","Контроль контракта","Control Contract",,,,,
app,"Finance Import Uzasbo","UzASBO kodni yuklash","УзАСБО кодни юклаш","Загрузка УзАСБО коды","UzASBO code upload",,,,,
app,"Finance Increased Contract Coef","Shartnoma (oshirilgan)","Шартнома (оширилган)","Контракт (Повышенный)",,,,,,
app,"Finance Minimum Wage","Eng kam oylik","Энг кам ойлик",Мин.зарпалата,,,,,,
app,"Finance Paid Contract Fee",To'lovlar,Тўловлар,Платежи,,,,,,
app,"Finance Payment Monitoring","To'lov monitoringi","Тўлов мониторинги","Мониторинг платежей",,,,,,
app,"Finance Payment Monitoring Department","Shartnoma to'lovi","Шартнома тўлови","Оплаты контрактов","Contract Payment",,,,,
app,"Finance Payment Monitoring Export","To'lov monitoring hisoboti","Тўлов мониторинг ҳисоботи","Отчет мониторинга платежей","Payment Monitoring Report",,,,,
app,"Finance Payment Monitoring Group","Guruh monitoringi","Гуруҳ мониторинги","Мониторинг группы","Group monitoring",,,,,
app,"Finance Scholarship","Stipendiya bazaviy","Стипендия базавий","Базовая стипендия","Scholarship Basic",,,,,
app,"Finance Scholarship Amount","Stipendiya turi","Стипендия тури","Вид стипендии",,,,,,
app,"Finance Set Scholarship","Stipendiya tayinlash","Стипендия тайинлаш","Назначение стипендии","Set Scholarship",,,,,
app,"Finance Set Student Contract Type","Shartnoma turi","Шартнома тури","Вид контракта",,,,,,
app,"Finance Student Contract","Shartnoma berish","Шартнома бериш","Выдача контракта",,,,,,
app,"Finance Student Contract Manual","To'lov farqi","Тўлов фарқи","Разница оплаты","Payment difference",,,,,
app,"Finance Student Contract Manual Edit","To'lov farqini kiritish","Тўлов фарқини киритиш","Ввод разницу оплаты","Input Payment Difference",,,,,
app,"Finance To Set Scholarship",,,,,,,,,
app,"Finance To Set Student Contract Type","Shartnoma turini belgilash","Шартнома турини белгилаш","Установка вида контракта",,,,,,
app,"Finance To Student Contract Type","Shartnoma turi","Шартнома тури","Вид контракта",,,,,,
app,"Finance Uzasbo Data","Talaba UzASBO kodi","Талаба УзАСБО коди","УзАСБО код студента","Student UzASBO Number",,,,,
app,"Find Contract","Shartnomani olish","Шартномани олиш","Скачать контракт","Contract Download",,,,,
app,"Find Diploma","Diplomni tekshirish","Дипломни текшириш","Проверка диплома","Diploma check",,,,,
app,"Finish At",Tugash,Тугаш,Конец,,,,,,
app,"Finished At",Tugadi,Тугади,Конец,,,,,,
app,"Finish Test",Yakunlash,Якунлаш,Завершить,,,,,,
app,"First Form","Birinchi shakl","Биринчи шакл","Первая форма",,,,,,
app,"First Name",Ismi,Исми,Имя,,,,,,
app,"Fiscal Year","Hisobot yili","Ҳисобот йили","Отчетный год",,,,,,
app,"Fixed positions","Ish soni","Иш сони","Кол-во работ",,,,,,
app,Folder,Papka,Папка,Папка,,,,,,
app,Folders,Papkalar,Папкалар,Папки,,,,,,
app,"Foreign Contract Price","Shartnoma qiymati","Шартнома қиймати","Сумма контракта",,,,,,
app,"Foreign Employee {name} created successfully","Xorijiy o'qituvchi {name} ning ma'lumotlari kiritildi","Хорижий ўқитувчи {name} нинг маълумотлари киритилди","Информация об иностранном преподавателе {name} успешно добавлена","Information about foreign teacher {name} successfully created",,,,,
app,"Foreign employee {name} deleted successfully","Xorijiy o'qituvchi {name} ning ma'lumotlari o'chirildi","Хорижий ўқитувчи {name} нинг маълумотлари ўчирилди","Информация об иностранном преподавателе {name} успешно удалена","Information about foreign teacher {name} successfully deleted",,,,,
app,"Foreign Employee {name} updated successfully","Xorijiy o'qituvchi {name} ning ma'lumotlari o'zgartirildi","Хорижий ўқитувчи {name} нинг маълумотлари ўзгартирилди","Информация об иностранном преподавателе {name} успешно обновлена","Information about foreign teacher {name} successfully updated",,,,,
app,"Foreign Training for {name} created successfully","{name} ning xorijiy faoliyat ma'lumoti yaratildi","{name} нинг хорижий фаолият маълумоти яратилди","Информация о зарубежной деятельности {name} успешно создана","Information about foreign activities {name} has been successfully created",,,,,
app,"Foreign Training for {name} updated successfully","{name} ning xorijiy faoliyat ma'lumoti o'zgartirildi","{name} нинг хорижий фаолият маълумоти ўзгартирилди","Информация о зарубежной деятельности {name} успешно обновлена","Information about foreign activities {name} has been successfully updated",,,,,
app,"Foreign training of {name} deleted successfully","{name} ning xorijiy faoliyat ma'lumoti o'chirildi","{name} нинг хорижий фаолият маълумоти ўчирилди","Информация о зарубежной деятельности {name} успешно удалена","Information about foreign activities {name} has been successfully deleted",,,,,
app,"Foreign Trainings","O'qituvchi xorijiy stajirovkasi","Ўқитувчи хорижий стажировкаси","Зарубежная стажировка преподавателя","Teachers Foreign Trainings",,,,,
app,"For example: Samadov, Faxriddin Hakimovich; Baxtiyorov, Laziz Nematovich","Masalan: Samadov, Faxriddin Hakimovich; Baxtiyorov, Laziz Nematovich","Масалан: Самадов, Фахриддин Хакимович; Бахтиёров, Лазиз Неъматович","Например: Самадов, Фахриддин Хакимович; Бахтиёров, Лазиз Неъматович",,,,,,
app,Formation,Shakllantirish,Шакллантириш,Формирование,,,,,,
app,"Format is AZ 1234567","Format AZ 1234567","Формат AZ 1234567","Формат AZ 1234567",,,,,,
app,Forward,"Qayta yuborish","Қайта юбориш",Переслать,,,,,,
app,Forwarded,"Qayta yuborilgan","Қайта юборилган",Переслано,,,,,,
app,"Forwarded message:","Qayta yuborilgan xabar:","Қайта юборилган хабар:","Пересланное сообщение:",,,,,,
app,From:,Kimdan:,Кимдан:,От:,,,,,,
app,"From: {sender}","Dan: {sender}","Дан: {sender}","От: {sender}",,,,,,
app,"Full Name","To‘liq ismi","Тўлиқ исми","Полное имя",,,,,,
app,"Fullname of Student","Talabaning F.I.Sh.","Талабанинг Ф.И.Ш.","ФИО студента",,,,,,
app,"Full Name of student","Talabaning F.I.SH.","Талабанинг Ф.И.Ш.","Ф.И.О. студента","Student Full Name",,,,,
app,"Fuqarolik holatlari nomlari","Fuqarolik holati nomi","Фуқаролик ҳолати номи","Наименование гражданского состояния",,,,,,
app,"Fuqarolik holatlari turlari","Fuqarolik holatlari turlari","Фуқаролик ҳолалари турлари","Виды гражданского состояния",,,,,,
app,"FWD: {message}","FWD: {message}","FWD: {message}","FWD: {message}",,,,,,
app,"GAP calculated for {count} students successfully","{count} nafar talabaning GPA bali muvaffaqiyatli hisoblandi","{count} нафар талабанинг GPA бали муваффақиятли ҳисобланди","GPA для {count} студентов вычислен успешно",,,,,,
